Serial Number,,         Course Code,,                                           Courses,,,,,Credit Hours
,,,,,,,,,
1,,                    ISLS-1112,,                                Islamic Studies,,,,,2
,,,,,,,,,
2,,                    ENGL-1118,,                                Functional English,,,,,3
,,,,,,,,,
3,,                    MATH-1101,,                                Calculus-1,,,,,3
,,,,,,,,,
4,,                    PHYS-1121,,                                Applied Physics,,,,,3
,,,,,,,,,
5,,                    PHYS-1221,,                                Applied Physics Lab,,,,,1
,,,,,,,,,
6,,                    CPEN-1110,,                                Introduction to Computing,,,,,3
,,,,,,,,,
7,,                    CPEN-1210,,                                Introduction to Computing Lab,,,,,1
,,,,,,,,,
8,,                    MEEN-1212,,                                Workshop Practise,,,,,1
,,,,,,,,,
9,,                    PAKS-1113,,                                 Pakistan Studies,,,,,2
,,,,,,,,,
10,,                   CPEN-1111,,                                 Programming Fundamentals,,,,,3
,,,,,,,,,
11,,                   CPEN-1211,,                                 programming Fundamentals Lab,,,,,1
,,,,,,,,,
12,,                   MATH-1102,,                                 Calculus-2,,,,,3
,,,,,,,,,
13,,                   CPEN-1121,,                                 Circuit Analysis,,,,,3
,,,,,,,,,
14,,                   CPEN-1221,,                                 Circuit Analysis Lab,,,,,1
,,,,,,,,,
15,,                   ENGL-1119,,                                 Communications Skills,,,,,3
,,,,,,,,,
16,,                   HLTH-1113,,                                 Basic Health Awareness,,,,,2
,,,,,,,,,
17,,                   MATH-2102,,                                 Linear Algebra,,,,,3
,,,,,,,,,
18,,                   CPEN-2120,,                                 Digital Logic Design,,,,,3
,,,,,,,,,
21,,                   CPEN-2224,,                                 Object Oriented Programming Lab,,,,,1
,,,,,,,,,
22,,                   CPEN-2110,,                                 Discrete Structures,,,,,3
,,,,,,,,,
23,,                   MEEN-1201,,                                 Engineering Drawings,,,,,1
,,,,,,,,,
24,,                   CPEN-2122,,                                 Electronics Devices and Circuits,,,,,3
,,,,,,,,,
25,,                   CPEN-2222,,                                 Electronics Devices and Circuits Lab,,,,,1
,,,,,,,,,
26,,                   MATH-2122,,                                 Differential Equations,,,,,3
,,,,,,,,,
27,,                   CPEN-2123,,                                 Computer Organization and Architecture,,,,,1
,,,,,,,,,
28,,                   CPEN-2223,,                                 Computer Organization and Architecture Lab,,,,,3
,,,,,,,,,
29,,                   STAT-3133,,                                 Probability Methods in Engineering,,,,,3
,,,,,,,,,
30,,                   CPEN-2121,,                                 Data Structures and Algorithams,,,,,1
,,,,,,,,,
31,,                   CPEN-2221,,                                 Data Structures and Algorithams Lab,,,,,3
,,,,,,,,,
32,,                   CPEN-2125,,                                 Signals and Systems,,,,,3
,,,,,,,,,
,,,,,,,,,
33,,                   CPEN-2225,,                                 Signals and Systems Lab,,,,,1
,,,,,,,,,
34,,                   CPEN-3130,,                                 Digital System Design,,,,,3
,,,,,,,,,
35,,                   CPEN-3230,,                                 Digital System Design Lab,,,,,1
,,,,,,,,,
36,,                   CPEN-3131,,                                 Operating Systems,,,,,3
,,,,,,,,,
37,,                   CPEN-3231,,                                 Operating Systems Lab,,,,,1
,,,,,,,,,
38,,                   CPEN-3133,,                                 Microprocessor and Microcontroller Interfacing,,,,,3
,,,,,,,,,
39,,                   CPEN-3233,,                                 Microprocessor and Microcontroller Interfacing Lab,,,,,1
,,,,,,,,,
40,,                   CPEN-3133,,                                 Software Engineering,,,,,3
,,,,,,,,,
41,,                   CPEN-3134,,                                 Digital Signal Processing,,,,,1
,,,,,,,,,
42,,                   CPEN-314X,,                                 CE Depth Elective-1,,,,,3
,,,,,,,,,
43,,                   CPEN-3132,,                                 Data Communications and Comp. Networks,,,,,3
,,,,,,,,,
44,,                   CPEN-3232,,                                 Data Communications and Comp. Networks Lab,,,,,3
,,,,,,,,,
45,,                   CPEN-314X,,                                 CE Depth Elective-2,,,,,3
,,,,,,,,,
46,,                   ENGL-2121,,                                 Technical Report Writing Skills,,,,,1
,,,,,,,,,
47,,                   CPEN-3134,,                                 Numerical Analysis,,,,,3
,,,,,,,,,
48,,                   CSCI-3120,,                                 Constitution and Legal System of Pakistan,,,,,2
,,,,,,,,,
49,,                   CSCI-6106,,                                 Project Management,,,,,3
,,,,,,,,,
50,,                   CPEN-4391,,                                 FYP-1,,,,,2
,,,,,,,,,
51,,                   CSCI-2111,,                                 Engineering Economics and Management,,,,,3
,,,,,,,,,
52,,                   CPEN-414X,,                                 CE Depth Elective-3,,,,,3
,,,,,,,,,
53,,                   CPEN-415X,,                                 IDEE-1,,,,,3
,,,,,,,,,
54,,                   CSCI-XXXX,,                                 Management Elective,,,,,3
,,,,,,,,,
55,,                   CPEN-4392,,                                 FYP-2,,,,,3
,,,,,,,,,
56,,                   CPEN-415X,,                                 IDEE-2,,,,,3
,,,,,,,,,
57,,                   CPEN-XXXX,,                                 CE Depth Elective-4,,,,,3
,,,,,,,,,
58,,                   CSCI-XXXX,,                                 Engineering / Professional Ethics,,,,,3
