Serial Number,Course Code,,                     Courses,,,,                     Credit Hours
,,,,,,,
1,                    ELEN-1100,,                     Linear circuit analysis,,,,3
,,,,,,,
2,                    ELEN-1200,,                     Linear circuit analysis Lab,,,,1
,,,,,,,
3,                    ENGL-1118,,                     Functional English,,,,3
,,,,,,,
4,                    INFT-1101,,                     Introduction to computing,,,,3
,,,,,,,
5,                    INFT-1201,,                     Introduction to computing Lab,,,,1
,,,,,,,
6,                    MATH-1121,,                     Calculus & Analytical geometry,,,,3
,,,,,,,
7,                    PHYS-1121,,                     Applied physics,,,,3
,,,,,,,
8,                    PHYS-1221,,                     Applied physics Lab,,,,1
,,,,,,,
9,                    ELEN-1120,,                     Electronic Devices and circuits ,,,,3
,,,,,,,
10,                    ELEN-1220,,                     Electronic Devices and circuits Lab,,,,1
,,,,,,,
11,                    ELEN-1201,,                     Workshop Practice,,,,1
,,,,,,,
12,                    MATH-2102,,                     Linear Algebra,,,,3
,,,,,,,
13,                    COCS-1101,,                     Programming Fundamentals,,,,3
,,,,,,,
14,                     COCS-1201,,                     Programming Fundamentals Lab,,,,1
,,,,,,,
15,                     ELEN-1100,,                     Communication Skills,,,,3
,                    ,,,,,,
16,                    MATH-2102                    ,,                     Basic Mechenical Engineering,,,,2
,,,,,,,
17,                     ENGL-1119,,                     Data Structure and Algoritham,,,,3
,,,,,,,
18,                     ELEN-1100,,                     Data Structure and Algoritham Lab,,,,1
,,,,,,,
21,                     MEEN-1110,,                     Digital Logic Design,,,,3
,,,,,,,
22,                    ELEN-1100,,                     Digital Logic Design Lab,,,,1
,,,,,,,
23,                     COCS-2101,,                     Applied Thermodynamics,,,,3
,,,,,,,
24,                     ELEN-1100,,                     Applied Thermodynamics Lab,,,,1
,,,,,,,
25,                     COCS-2201,,                     Differential Equations,,,,3
,,,,,,,
26,                     ELEN-1100,,                     Engineering Drawing,,,,1
,,,,,,,
27,                     ELEN-2100,,                     Islamic Studies,,,,2
,,,,,,,
28,                     ELEN-1100,,                     Complex Variables and Transforms,,,,3
,,,,,,,
29,                     ELEN-2200,,                     Microprocessor system,,,,3
,,,,,,,
30,                    ELEN-1100,,                     Microprocessor system Lab,,,,1
,,,,,,,
31,                     MEEN-1109,,                     Electronic Circuit Design,,,,3
,,,,,,,
32,                     ELEN-1100,,                     Electronic Circuit Design Lab,,,,1
,,,,,,,
33,                     MEEN-1209,,                     Electrical Network Analysis ,,,,3
,,,,,,,
34,                     ELEN-1100,,                     Electrical Network Analysis Lab,,,,1
,,,,,,,
35,                     MATH-2122,,                     Pakistan Studies,,,,2
,,,,,,,
36,                     ELEN-2201,,                     Signals and Systems,,,,3
,,,,,,,
37,                     ISLS-1112,,                     Signals and Systems Lab,,,,1
,,,,,,,
38,                     MATH-2123,,                     Electrical Machines,,,,3
,,,,,,,
39,                     ELEN-3150,,                     Electrical Machines Lab,,,,1
,,,,,,,
40,                     ELEN-3250,,                     Electromagnetic Theory,,,,3
,,,,,,,
41,                     ELEN-3120,,                     Engineering Economics and Management,,,,3
,,,,,,,
42,                     ELEN-3220,,                     Probibility Methods in Engineering,,,,3
,,,,,,,
43,                     ELEN-1100,,                     Mechnecial Writing and Presentation Skills,,,,3
,,,,,,,
44,                    ELEN-1100,,                     Linear Control System,,,,3
,,,,,,,
45,                     ELEN-2102,,                     Linear Control System Lab,,,,1
,,,,,,,
46,                     ELEN-1100,,                     Instrumentation and Measurement,,,,3
,,,,,,,
47,                     ELEN-2202,,                     Instrumentation and Measurement Lab,,,,1
,,,,,,,
48,                    ELEN-1100,,                     Numerical Analysis,,,,3
,,,,,,,
49,                    PAKS-1113,,                     Communication Systems,,,,3
,,,,,,,
50,                    ELEN-1100,,                     Communication Systems Lab,,,,1
,,,,,,,
51,                    ELEN-3130,,                     Elective-1,,,,3
,,,,,,,
52,                    MATH-2102,,                     Elective-2,,,,3
,,,,,,,
53,                    ELEN-3230,,                     Elective-3,,,,3
,,,,,,,
54,                   ELEN-1100,,                     Entrepreneurship,,,,2
,,,,,,,
55,                    ELEN-2110,,                     Social Sciences 1,,,,2
,,,,,,,
56,                    ELEN-2210,,                     FYP-1,,,,2
,,,,,,,
57,                    ELEN-3131,,                     Elective-4,,,,3
,,,,,,,
58,                    MSCI-2111,,                     Elective-5,,,,3
,,,,,,,
59,                    STAT-3133,,                     Social Sciences 2,,,,2
,,,,,,,
60,                    ENGL-2111,,                     FYP-2,,,,4
,,,,,,,
61,                    ELEN-3140,,                     University Elective,,,,3
